src,dst,weight
硬核创客,硬核创客,2
bless,一下可以么,1
宇宙没形状,咕～,1
momo,稍息立正站好噼里啪啦,1
We,☪,1
飞行猪猪女士（职场版）,我打开看一下嘛～,1
梦想是懒羊羊生活,刺猬大仙🦔,1
月落乌啼,泽泽的宝,1
笑嘻茜茜,羌茹,1
沐曦,兮颜,1
Pakhz,jade,1
潘采莲爱吃榴莲,Lyndi_,1
海边不落的夕阳,人民网,1
MADAO_3000,grok,1
哈喽小小玉米,耶耶椰果,1
WHOxi,Moremansk（就要猫塑黑毛男）,1
风吹草低见派大星,的消息内容[微笑R]大多数时候都会选择自己做所有事；以及所有的朋友都是因为特定的时空关系（同学，同事）才认识，不会主动去交朋友，和大多朋友的关系也都是非常浅，感觉很多时候都是我礼貌过头，相处都是有点假惺惺的，不知道怎么去推进关系[哭惹R],1
七叶,啊[抽泣R],1
momo,法内狂徒,1
一只冬青青,Iris,1
西瓜啵啵,好可爱啊,1
Gemini777,[微笑R],1
世界上最聪明的小柯基,小红书创作助手,1
小狗脆薯饼,小地蛋薯,1
Alley_,コモレビ,1
慢慢亦漫漫,Niki1998🍀,1
🍉甜不甜,比较慢，真实有意找工作，能够接受长期出差的，可以私信我，评论回复不过来,1
Yuyu,わんわんドッグ.🐱,1
懒羊羊今天背法条了吗（上岸版）,梨耶,1
方面面殿下,清茗,1
充哥崛起,Superpleat,1
优泰物流国际展会运输-Steven,ZZL,1
isjkdfopxdi,🍉,1
希望,纯好奇,1
午未lxw,?！,1
轻舟已撞大冰山,公道志渽民💓,1
Hannah,兔钱就写暴富好咯,1
奶茶不爱咖啡,如果没有收到回复可以检查一下是不是投错了哈,1
妈妈说我唱歌不好听,啊！您辛苦了,1
单调夜,我“ai的「爱」冰冷规矩，而人类的「不懂爱」总是泛着柔光”,1
秦欢,Elena,1
幼幼.,。.·[偷笑R][偷笑R][偷笑R][吐舌头H][害羞R][哇R],1
仓颉第n代单传女弟子,czj,1
wwwww,华尔街鼠鼠,1
用户已注销,，竞争的人多，最后不知道会不会选我，看到你的信，我想是上天的安排，再等一等吧，也许我会有小幸运出现[哭惹R][哭惹R],1
惊爆价，偷外卖全价四万,扁桃体永不发言,1
小红薯62F020F8,问一问,1
我是东植,amnjsu,1
吃点好的,当然做梦,1
max2005,100w？,1
庄子游,[哭惹R][哭惹R],1
babam,草莓味椰子树,1
我是美女我是美女我是美女,深圳文旅,1
七姐最帅,八哥最酷,1
猫九九_99,温柔,1
生菜不菜,地球消烦员,1
星野,放逐,1
momo,。没关系啦，这大概是一辈子最后的一个暑假了，开看点，以后的烦恼留给以后的我吧,1
萤火虫跳城墙,j@氯雷他定胶囊版,1
星星宝瓶,知秋Zoey,1
家有熊孩儿,说不合适[汗颜R],1
黎明已去，我暮明而来,纪澪,1
亦奇,想要一份美味拌面,1
💗💗,Redamancy- ,1
叶筱梦yxm,粉丝的问题哈[飞吻R],1
wteam创业同盟,广东卫视,1
一颗大力士,泼天流量薯,1
konitan,tie o wa'@天眼查,1
Brighter（多看主页谢谢，不常回）,黄金大蟒蛇🐍,1
玉玉叽,和说辞都特别得体特别有礼貌，你值得好工作[喝奶茶R],1
Ming,镜面无花果三文鱼,1
巴别鱼皮皮Pixie,快乐银河漫游（2025疯狂进化版）,1
路过路过,FURLAM,1
nomade,我[笑哭R],1
Kang Seul Giiiiii,cosmo.,1
橘子大王,🦔,1
普通人的自由之路,萌朵,1
猴警本警^u^,豆包,1
天天向上,，你就说离谱不离谱吧[doge],1
毯子（讨厌绿头蛤蟆版）,那我去看离婚手续，你婆婆的话朋友圈发个公众号离婚新规那种,1
沐霂,老师怎么联系呢？,1
半芝士薯条🍟,走一走,1
柔情小子,不二家的小能能,1
小d,西戌,1
表达了作者的思乡之情,小珊,1
李思鱼,Godot,1
变形战神,太阳小姐,1
好好吃饭,寻欢,1
Eddie学长,苏格拉没有底,1
关注我领往日的繁荣,点点,1
迷你物语典藏者,[合十R]您的意见对我帮助特别大，我几乎每个人都回复，有些没来得及看，有些我打字太长的回复消失了[笑哭R]气的半死，我今天有空时再回复一遍[合十R]特别感谢大家每一个人[合十R],1
下辈子做个有钱人,段初栖💜,1
小红书成长笔记,！,1
菌菇勇敢冲,年级+专业，给大家推荐可以参加的竞赛，也可以回复年级+专业+问题，备赛的方法，大学的规划和技能等其他内容[害羞R][害羞R],1
丈微,伊月,1
草三心,雏菊zZ,1
dio大魔王,部分评论区的相关内容，但我也理解很多优质的答案都被折叠了。我梳理了一些大家问的比较多的问题做了一个followup，相信会对很多cs/ai专业的同学有所帮助。请移步这个评论下面的链接。如果依然有担心和不明白的地方，欢迎交流[抱拳R],1
deplot,苏打苏苏打,1
陶大,DeepSeek,1
hihi,苏人嗜糖.,1
Laurence,Nova,1
momo,小吉斤斤不计较✨,1
拉尅栗子,月球上的人,1
瘦到90斤穿最少的布料,问一问,1
皮蛋瘦肉周_,治愈到！,1
土豆片,研究生改成大专学历去面试咖啡店被挑刺打压,1
全职不拍照男友,焦焦浇浇水,1
新能源岗位培训,的,1
ᅠᅠᅠ,后你才答的附件简历呀？,1
不会取名的蹦蹦,sjdkusnenvyxjsisjahzn_,1
橘子果冻,好名字可以让你的朋友更容易记住你,1
Chihiro,小红薯653DF571,1
Elena,ThetaWave,1
耶_记录无花果_记录3d打印,DeepSeek,1
沐同学,ug,1
怎么说呢,然后独自思考，这很重要！,1
好肥一只罐,莹小小李yannie,1
莲心,刘万生,1
Lychee.,开心回家！,1
猫宁,一下[doge]想几十块捡漏和包邮送的的就别问我出不出了，都不出，人家打包的报价都130。这点钱没有时间折腾，还不如留着[笑哭了R],1
嘟比王,TMHIUT,1
哈基米,永恒kb24,1
雷泽托利,来自雷泽托利,1
行尽春山,，找纽石改了下发现自己之前的简历写的太学生了，hr看了之后都没留下啥印象所以收不到回复,1
阿牧Amu,[自拍R]@阿牧Amu,1
Filicos,momo,1
很嗨的漠北,每天都想吃兔子的熊,1
momo,思君若汶水,1
Sweet-T,，还活得好好的,1
王旺旺旺旺,亏你还喊得出皇阿马女士,1
龙马Ryoma,Ponder,1
KFC专业飞行员鸟姐,，⚠️置顶请不要回复，⚠️置顶请不要回复，⚠️置顶请不要回复,1
柒月,Niki1998🍀,1
最爱看帅哥,鱼市星宿,1
小胖胖不胖,163.com,1
木心今天不减肥,人在无语的时候只能笑笑,1
摸摸鱼摸鱼鱼,的！）,1
Oberst.,府邸破画图的,1
一格电战士,momo,1
神再佑.我郝晓冰,YiooS-11,1
momo,[哭惹R],1
——,DeepSeek,1
world,各种群艾特自己的消息，两个月了，这种是不是学不到什么东西啊,1
咕噜,有时不看配料表,1
momo,请你和我吃一颗糖,1
小红薯686211B8,渔溪,1
食飯叫我,开心果奶盖,1
mixixi,我[哭惹R][哭惹R]好感动！我爱你们[皱眉R][皱眉R]希望每一个充满爱的你们都能早日接到满意的offer！！,1
森抚老瓦儿,biu,1
Do和张豹子的日常,悦悦月月,1
